EmployeeID,Age,Department,JobRole,Gender,MonthlyIncome,OverTime,YearsAtCompany,JobSatisfaction,Attrition,Age_Group,Salary_Slab,Experience_Level,Attrition_Flag
1,23,Human Resources,Human Resources,Male,12012,Yes,7,4,No,20-30,High,Senior,0
2,27,Sales,Sales Executive,Male,10164,Yes,7,4,No,20-30,High,Senior,0
3,39,Sales,Sales Representative,Female,3212,No,5,2,No,31-40,Low,Mid-Level,0
4,28,Sales,Sales Representative,Female,6039,No,12,1,Yes,20-30,Medium,Senior,1
5,56,Human Resources,Manager,Female,7090,No,12,2,Yes,51+,Medium,Senior,1
6,24,Human Resources,Human Resources,Male,10467,Yes,9,4,No,20-30,High,Senior,0
7,45,Research & Development,Laboratory Technician,Female,8329,Yes,11,2,No,41-50,Medium,Senior,0
8,32,Human Resources,Human Resources,Male,18147,No,12,1,No,31-40,High,Senior,0
9,42,Sales,Sales Executive,Female,16145,Yes,8,4,Yes,41-50,High,Senior,1
10,51,Research & Development,Healthcare Representative,Female,7681,No,8,4,Yes,51+,Medium,Senior,1
11,30,Research & Development,Research Scientist,Male,19696,Yes,15,2,Yes,20-30,High,Senior,1
12,49,Human Resources,Human Resources,Female,5081,No,12,1,No,41-50,Medium,Senior,0
13,56,Human Resources,Human Resources,Female,11743,No,20,2,No,51+,High,Senior,0
14,38,Research & Development,Research Scientist,Male,19403,No,5,2,No,31-40,High,Mid-Level,0
15,32,Sales,Sales Representative,Male,3018,Yes,19,3,No,31-40,Low,Senior,0
16,25,Research & Development,Research Scientist,Male,10892,No,18,1,No,20-30,High,Senior,0
17,30,Human Resources,Human Resources,Female,18574,Yes,17,2,Yes,20-30,High,Senior,1
18,47,Human Resources,Manager,Female,15236,Yes,14,2,No,41-50,High,Senior,0
19,43,Sales,Sales Executive,Male,3689,Yes,18,1,No,41-50,Low,Senior,0
20,36,Human Resources,Human Resources,Male,5208,Yes,1,3,No,31-40,Medium,Junior,0
21,35,Human Resources,Manager,Male,7335,No,18,4,No,31-40,Medium,Senior,0
22,28,Sales,Sales Executive,Female,17124,Yes,11,1,No,20-30,High,Senior,0
23,43,Sales,Sales Representative,Female,6580,Yes,7,4,No,41-50,Medium,Senior,0
24,51,Sales,Sales Representative,Male,11185,Yes,2,1,No,51+,High,Junior,0
25,32,Sales,Sales Executive,Female,16317,Yes,15,2,No,31-40,High,Senior,0
26,46,Research & Development,Research Scientist,Female,11690,Yes,14,2,No,41-50,High,Senior,0
27,25,Research & Development,Research Scientist,Female,4997,Yes,10,1,Yes,20-30,Low,Senior,1
28,33,Human Resources,Human Resources,Male,5245,No,19,1,Yes,31-40,Medium,Senior,1
29,24,Human Resources,Human Resources,Female,5686,No,13,2,No,20-30,Medium,Senior,0
30,37,Human Resources,Manager,Female,11703,No,12,3,Yes,31-40,High,Senior,1
31,51,Sales,Sales Executive,Female,6276,Yes,2,3,No,51+,Medium,Junior,0
32,45,Sales,Sales Executive,Female,12338,Yes,5,3,No,41-50,High,Mid-Level,0
33,30,Human Resources,Human Resources,Male,11666,No,3,3,No,20-30,High,Mid-Level,0
34,43,Human Resources,Human Resources,Female,9671,No,20,1,No,41-50,Medium,Senior,0
35,49,Sales,Manager,Male,12066,No,1,2,Yes,41-50,High,Junior,1
